Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),air pressure at 100m (Pa),air temperature at 100m (C)
2012,1,1,0,30,14.86,179.16,97110,4.57
2012,1,1,1,30,14.76,186.39000000000001,96950,4.94
2012,1,1,2,30,15.26,192.45000000000002,96820,5.11
2012,1,1,3,30,14.56,203.3,96680,5.2700000000000005
2012,1,1,4,30,13.450000000000001,217.14000000000001,96530,4.94
2012,1,1,5,30,11.03,253.1,96580,3.81
2012,1,1,6,30,13.41,300.1,96610,2.46
2012,1,1,7,30,16.06,308.46,96810,1.56
2012,1,1,8,30,18.6,305.78000000000003,97030,0.6
2012,1,1,9,30,20.21,303.39,97270,-1.1300000000000001
2012,1,1,10,30,20.42,300.91,97430,-1.55
2012,1,1,11,30,20.2,295.43,97570,-1.55
2012,1,1,12,30,19.95,293.46,97670,-1.33
2012,1,1,13,30,17.43,289.5,97770,-1.73
2012,1,1,14,30,15.06,290.28000000000003,97840,-1.45
2012,1,1,15,30,16.05,288.56,98000,-1.56
2012,1,1,16,30,16.21,289.53000000000003,98140,-1.74
2012,1,1,17,30,16.46,291.27,98230,-2.23
2012,1,1,18,30,16.55,293.96,98320,-2.62
2012,1,1,19,30,16.61,298.88,98340,-2.89
2012,1,1,20,30,15.91,302.87,98380,-3.43
2012,1,1,21,30,15.17,306.37,98420,-3.98
2012,1,1,22,30,14.450000000000001,305.71,98460,-4.44
2012,1,1,23,30,14.8,305.01,98460,-4.95
2012,1,2,0,30,15.530000000000001,307.85,98490,-5.61
2012,1,2,1,30,16.27,306.93,98530,-5.99
2012,1,2,2,30,17.3,311.53000000000003,98540,-6.87
2012,1,2,3,30,15.040000000000001,303.73,98530,-7.42
2012,1,2,4,30,14.52,309.46,98520,-7.88
2012,1,2,5,30,14.56,314.33,98580,-8.16
2012,1,2,6,30,14.030000000000001,315.8,98590,-8.52
2012,1,2,7,30,13.36,317.58,98680,-8.59
2012,1,2,8,30,13.43,319.44,98730,-8.63
2012,1,2,9,30,14.31,321.45,98820,-8.540000000000001
2012,1,2,10,30,13.94,322.90000000000003,98870,-8.39
2012,1,2,11,30,13.63,323.79,98900,-8.06
2012,1,2,12,30,13.96,322.87,98900,-7.9
2012,1,2,13,30,13.97,322.26,98940,-7.8
2012,1,2,14,30,14.120000000000001,322.69,99020,-7.76
2012,1,2,15,30,14.19,324,99090,-7.8100000000000005
2012,1,2,16,30,13.41,322.46,99200,-7.58
2012,1,2,17,30,13.290000000000001,322.58,99260,-7.74
2012,1,2,18,30,13.89,322.61,99340,-7.96
2012,1,2,19,30,14.540000000000001,324.83,99370,-8.17
2012,1,2,20,30,14.200000000000001,327.08,99430,-8.370000000000001
2012,1,2,21,30,13.24,326.73,99470,-8.71
2012,1,2,22,30,12.200000000000001,328.92,99500,-8.93
2012,1,2,23,30,11.77,326.19,99540,-9.39
2012,1,3,0,30,10.870000000000001,319.23,99550,-10.16
2012,1,3,1,30,10.950000000000001,318.53000000000003,99600,-10.73
2012,1,3,2,30,9.88,318.78000000000003,99630,-11.02
2012,1,3,3,30,8.51,317.82,99620,-11.19
2012,1,3,4,30,7.640000000000001,311.82,99570,-11.56
2012,1,3,5,30,7.22,308.35,99610,-11.78
2012,1,3,6,30,7.6000000000000005,313.6,99670,-11.94
2012,1,3,7,30,6.44,311.87,99660,-11.83
2012,1,3,8,30,5.19,307.13,99720,-11.53
2012,1,3,9,30,3.74,302.04,99720,-10.88
2012,1,3,10,30,2.87,289.52,99710,-9.85
2012,1,3,11,30,2.65,263.19,99590,-8.73
2012,1,3,12,30,3.58,240.68,99450,-7.640000000000001
2012,1,3,13,30,4.15,233.05,99320,-6.68
2012,1,3,14,30,4.88,221.75,99220,-5.97
2012,1,3,15,30,5.89,210.21,99120,-5.73
2012,1,3,16,30,7.2700000000000005,201.98000000000002,99030,-5.89
2012,1,3,17,30,8.18,197.87,98930,-5.99
2012,1,3,18,30,10.13,193.35,98810,-5.97
2012,1,3,19,30,10.91,196.44,98730,-5.78
2012,1,3,20,30,11.3,201.3,98670,-5.39
2012,1,3,21,30,10.81,207.43,98660,-4.97
2012,1,3,22,30,10.82,208.46,98670,-4.47
2012,1,3,23,30,10.93,206.6,98560,-4.11
2012,1,4,0,30,11.26,208.11,98420,-3.7600000000000002
2012,1,4,1,30,11.26,211.66,98330,-3.58
2012,1,4,2,30,10.55,219.82,98280,-3.2600000000000002
2012,1,4,3,30,10.41,230.19,98230,-2.94
2012,1,4,4,30,9.26,228.29,98110,-2.81
2012,1,4,5,30,9.43,228.73000000000002,98060,-2.8000000000000003
2012,1,4,6,30,8.63,254.62,98150,-2.7
2012,1,4,7,30,8.540000000000001,239.55,98100,-2.88
2012,1,4,8,30,6.88,269.96,98190,-2.8000000000000003
2012,1,4,9,30,5.92,284.81,98260,-1.9100000000000001
2012,1,4,10,30,5.45,297.22,98220,-1.02
2012,1,4,11,30,5.15,286.57,98110,-0.25
